,AGE,SEX,FTPT,GOVTOF2,SC20MMJ,TTUSHR,GRSSWK,DISEA,ETHUKEUL,HIQUL22D
2058,44,1,1,10,9,55,1038,2,1,4
2059,44,2,2,10,5,20,231,2,1,3
2061,16,2,2,10,9,20,122,2,1,5
2076,70,1,2,10,9,2,28,2,1,2
2086,32,1,1,10,2,38,896,2,1,1
2087,32,2,1,10,4,38,635,2,1,3
2111,58,1,1,10,8,48,923,2,1,4
2113,36,2,2,10,6,11,288,2,1,1
2114,34,1,1,10,1,40,1038,2,1,4
2130,45,1,1,10,3,44,538,2,1,4
2131,39,1,1,10,8,40,500,2,1,4
2145,34,1,1,10,3,37,762,2,1,4
2146,32,2,1,10,7,32,500,2,1,3
2148,44,2,1,10,3,40,711,2,1,4
2149,17,1,2,10,9,6,63,2,1,4
2192,42,1,2,10,1,19,288,1,1,1
2204,61,2,2,10,3,14,346,2,1,1
2205,57,2,2,10,9,20,232,2,1,4
2206,54,1,2,10,8,16,173,2,1,4
2219,54,2,1,10,9,28,277,1,1,4
2221,43,1,1,10,1,55,3115,2,1,1
2225,45,2,2,10,6,16,194,2,1,4
2229,22,2,1,10,6,40,538,2,1,3
2230,18,1,1,10,5,40,300,2,1,4
2231,64,1,2,10,4,35,337,2,1,4
2235,32,2,2,10,9,10,120,2,1,3
2244,50,1,1,10,9,40,440,1,1,3
2245,45,2,1,10,9,42,460,2,1,2
2246,22,1,1,10,8,48,462,2,1,3
2249,19,1,1,10,1,43,485,2,1,6
2254,57,1,1,10,1,35,508,2,1,5
2255,54,2,1,10,4,35,508,2,1,2
2256,68,1,1,10,1,50,196,2,1,3
2257,56,1,1,10,2,52,827,2,1,1
2258,54,2,1,10,2,54,827,2,1,1
2261,69,2,2,10,1,18,962,2,1,1
2263,35,2,2,10,2,26,785,2,1,1
2277,56,2,2,10,1,10,240,2,1,4
2282,57,1,1,10,1,38,1635,2,1,2
2284,26,1,1,10,1,75,673,2,1,1
2326,62,1,1,10,5,45,692,2,1,3
2344,59,1,1,10,2,60,1033,1,1,1
2345,45,2,1,10,2,50,1038,1,1,1
2380,38,1,1,10,2,45,1096,2,1,2
2387,36,2,1,10,3,40,894,2,1,1
2388,36,1,1,10,2,55,769,2,1,1
2434,58,2,2,10,9,8,162,2,1,4
2436,34,1,1,10,3,50,992,1,1,1
2437,32,2,1,10,2,40,577,2,1,1
2477,33,2,1,10,4,40,442,2,1,4
2481,49,1,1,10,3,48,904,2,1,4
2504,37,1,1,10,7,36,429,2,1,4
2505,29,2,1,10,4,32,542,2,1,3
2506,57,2,1,10,5,44,923,2,1,2
2513,79,2,2,10,1,5,69,1,1,4
2520,52,2,1,10,4,38,769,1,1,4
2522,16,2,1,10,7,30,231,2,1,4
2526,52,1,1,10,1,42,712,2,1,3
2527,41,2,1,10,2,47,1980,2,1,2
2547,50,1,1,10,2,39,1192,2,1,1
2552,53,2,2,10,6,20,148,2,1,6
2564,24,2,1,10,2,45,632,2,1,1
2565,25,1,1,10,3,38,500,1,1,3
2579,51,1,1,10,2,47,1338,2,1,3
2602,30,1,1,10,3,50,577,1,1,1
2615,62,2,1,10,1,38,577,2,1,4
2618,47,1,1,10,7,42,404,1,1,3
2619,44,1,2,10,2,28,500,2,1,1
2632,31,1,1,10,5,35,669,1,1,5
2636,53,2,1,10,2,35,808,2,1,1
2642,52,2,2,10,9,8,70,1,1,6
2685,63,2,2,10,7,18,212,1,1,4
2686,43,2,1,10,2,40,1923,2,1,1
2695,52,2,2,10,2,22,462,2,1,1
2698,26,2,1,10,3,40,673,1,1,1
2699,37,1,1,10,1,40,538,2,1,3
2705,60,1,1,10,5,36,750,2,1,3
2707,35,2,2,10,1,15,231,2,1,3
2735,62,1,1,10,5,45,974,1,1,3
2739,55,2,1,10,3,37,526,2,1,4
2770,32,2,1,10,6,32,392,1,1,2
2771,30,1,1,10,9,38,629,1,1,3
2796,52,2,2,10,2,18,558,1,1,1
2800,57,2,2,10,3,24,538,2,1,1
2849,27,1,1,10,4,37,415,2,1,1
2850,62,2,1,10,9,34,400,2,1,4
2856,51,2,2,10,3,20,298,1,7,1
2861,38,1,1,10,5,35,413,1,1,6
2862,32,2,2,10,2,24,369,2,1,1
2863,34,1,1,10,2,60,942,2,1,1
2871,34,1,1,10,1,60,760,2,1,5
2881,41,1,1,10,2,44,1538,1,1,1
2901,27,1,1,10,5,40,652,1,1,3
2902,27,2,1,10,6,36,510,2,1,1
2903,29,2,2,10,6,15,144,2,1,3
2918,53,2,2,10,3,24,288,1,1,4
